id,price,time,exchange,quote_type,market_hours,change_percent,day_volume,change,last_size,price_hint,readable_time
ONGC.NS,234.43,1754972820000,NSI,8,1,0.27365604,579002,0.6399994,10,2,2025-08-12 09:57:00
CIPLA.NS,1511.6,1754972820000,NSI,8,1,0.45197248,77588,6.7999268,1,2,2025-08-12 09:57:00
SHRIRAMFIN.NS,614.35,1754972820000,NSI,8,1,-0.5261028,556192,-3.25,1,2,2025-08-12 09:57:00
LT.NS,3712.4,1754972820000,NSI,8,1,1.1993675,479742,44.0,5,2,2025-08-12 09:57:00
ITC.NS,418.9,1754972820000,NSI,8,1,0.49213484,1691958,2.0499878,1709,2,2025-08-12 09:57:00
BHARTIARTL.NS,1863.0,1754972820000,NSI,8,1,0.3014954,623680,5.5999756,4,2,2025-08-12 09:57:00
BAJAJFINSV.NS,1926.2,1754972820000,NSI,8,1,0.17683877,103900,3.3999023,5,2,2025-08-12 09:57:00
BAJAJ-AUTO.NS,8301.5,1754972820000,NSI,8,1,0.32022235,29425,26.5,3,2,2025-08-12 09:57:00
M&M.NS,3235.6,1754972820000,NSI,8,1,1.550295,864578,49.400146,1,2,2025-08-12 09:57:00
TCS.NS,3087.6,1754972820000,NSI,8,1,1.5390702,492913,46.80005,10,2,2025-08-12 09:57:00
TATASTEEL.NS,160.95,1754972820000,NSI,8,1,1.5326349,4344712,2.4299927,1,2,2025-08-12 09:57:00
RELIANCE.NS,1397.9,1754972820000,NSI,8,1,0.84397846,1413979,11.700073,,2,2025-08-12 09:57:00
INFY.NS,1439.1,1754972820000,NSI,8,1,0.76320016,1418956,10.900024,7,2,2025-08-12 09:57:00
TECHM.NS,1503.3,1754972820000,NSI,8,1,1.4990934,247599,22.200073,73,2,2025-08-12 09:57:00
TATACONSUM.NS,1062.6,1754972820000,NSI,8,1,0.3305629,66802,3.5,4,2,2025-08-12 09:57:00
TITAN.NS,3525.8,1754972820000,NSI,8,1,1.6699396,258757,57.900146,1,2,2025-08-12 09:57:00
WIPRO.NS,246.08,1754972820000,NSI,8,1,1.8458765,1890687,4.4600067,8,2,2025-08-12 09:57:00
NESTLEIND.NS,1108.2,1754972820000,NSI,8,1,0.28964075,124615,3.1999512,,2,2025-08-12 09:57:00
APOLLOHOSP.NS,7261.5,1754972820000,NSI,8,1,0.034442376,33205,2.5,,2,2025-08-12 09:57:00
BEL.NS,382.65,1754972820000,NSI,8,1,-0.32560563,2352641,-1.25,92,2,2025-08-12 09:57:00
BAJAJ-AUTO.NS,8300.0,1754972821000,NSI,8,1,0.30206004,29428,25.0,1,2,2025-08-12 09:57:01
POWERGRID.NS,286.15,1754972821000,NSI,8,1,0.45637625,1118637,1.2999878,32,2,2025-08-12 09:57:01
BEL.NS,382.6,1754972821000,NSI,8,1,-0.33858258,2355900,-1.2999878,1,2,2025-08-12 09:57:01
JIOFIN.NS,330.8,1754972821000,NSI,8,1,0.93086755,2882963,3.0499878,298,2,2025-08-12 09:57:01
SBILIFE.NS,1860.9,1754972821000,NSI,8,1,0.53499186,93763,9.900024,1,2,2025-08-12 09:57:01
WIPRO.NS,246.12,1754972821000,NSI,8,1,1.8627369,1891049,4.5,100,2,2025-08-12 09:57:01
TATASTEEL.NS,161.06,1754972821000,NSI,8,1,1.6034298,4347783,2.5399933,58,2,2025-08-12 09:57:01
ICICIBANK.NS,1430.4,1754972821000,NSI,8,1,-0.43157116,905861,-6.199951,,2,2025-08-12 09:57:01
GRASIM.NS,2720.5,1754972821000,NSI,8,1,-1.3925117,52075,-38.399902,2,2,2025-08-12 09:57:01
RELIANCE.NS,1398.3,1754972821000,NSI,8,1,0.873149,1416975,12.100098,180,2,2025-08-12 09:57:01
TITAN.NS,3526.2,1754972821000,NSI,8,1,1.681328,258963,58.30005,17,2,2025-08-12 09:57:01
